date,sku,product_name,qty_sold,unit_price
2025-09-01,1000,Heineken 12pk,3,20.76
2025-09-02,1000,Heineken 12pk,2,20.76
2025-09-03,1000,Heineken 12pk,5,20.76
2025-09-04,1000,Heineken 12pk,2,20.76
2025-09-05,1000,Heineken 12pk,3,20.76
2025-09-06,1000,Heineken 12pk,5,20.76
2025-09-07,1000,Heineken 12pk,3,20.76
2025-09-08,1000,Heineken 12pk,2,20.76
2025-09-09,1000,Heineken 12pk,3,20.76
2025-09-10,1000,Heineken 12pk,6,20.76
2025-09-11,1000,Heineken 12pk,6,20.76
2025-09-12,1000,Heineken 12pk,3,20.76
2025-09-13,1000,Heineken 12pk,5,20.76
2025-09-14,1000,Heineken 12pk,2,20.76
2025-09-15,1000,Heineken 12pk,2,20.76
2025-09-16,1000,Heineken 12pk,3,20.76
2025-09-17,1000,Heineken 12pk,2,20.76
2025-09-18,1000,Heineken 12pk,1,20.76
2025-09-19,1000,Heineken 12pk,6,20.76
2025-09-20,1000,Heineken 12pk,3,20.76
2025-09-21,1000,Heineken 12pk,1,20.76
2025-09-22,1000,Heineken 12pk,3,20.76
2025-09-23,1000,Heineken 12pk,3,20.76
2025-09-24,1000,Heineken 12pk,1,20.76
2025-09-25,1000,Heineken 12pk,2,20.76
2025-09-26,1000,Heineken 12pk,5,20.76
2025-09-27,1000,Heineken 12pk,3,20.76
2025-09-28,1000,Heineken 12pk,2,20.76
2025-09-29,1000,Heineken 12pk,1,20.76
2025-09-30,1000,Heineken 12pk,2,20.76
2025-10-02,1000,Heineken 12pk,2,20.76
2025-10-04,1000,Heineken 12pk,2,20.76
2025-10-05,1000,Heineken 12pk,2,20.76
2025-10-06,1000,Heineken 12pk,4,20.76
2025-10-07,1000,Heineken 12pk,2,20.76
2025-10-08,1000,Heineken 12pk,1,20.76
2025-10-09,1000,Heineken 12pk,1,20.76
2025-10-10,1000,Heineken 12pk,1,20.76
2025-10-11,1000,Heineken 12pk,5,20.76
2025-10-12,1000,Heineken 12pk,2,20.76
2025-10-13,1000,Heineken 12pk,3,20.76
2025-10-14,1000,Heineken 12pk,3,20.76
2025-10-15,1000,Heineken 12pk,5,20.76
2025-10-16,1000,Heineken 12pk,3,20.76
2025-10-17,1000,Heineken 12pk,4,20.76
2025-10-18,1000,Heineken 12pk,1,20.76
2025-10-19,1000,Heineken 12pk,2,20.76
2025-10-20,1000,Heineken 12pk,3,20.76
2025-10-21,1000,Heineken 12pk,1,20.76
2025-10-22,1000,Heineken 12pk,3,20.76
2025-10-23,1000,Heineken 12pk,4,20.76
2025-10-24,1000,Heineken 12pk,2,20.76
2025-10-25,1000,Heineken 12pk,2,20.76
2025-10-26,1000,Heineken 12pk,2,20.76
2025-10-27,1000,Heineken 12pk,2,20.76
2025-10-28,1000,Heineken 12pk,2,20.76
2025-10-29,1000,Heineken 12pk,4,20.76
2025-10-30,1000,Heineken 12pk,2,20.76
2025-10-31,1000,Heineken 12pk,4,20.76
2025-11-01,1000,Heineken 12pk,3,20.76
2025-11-02,1000,Heineken 12pk,3,20.76
2025-11-03,1000,Heineken 12pk,3,20.76
2025-11-04,1000,Heineken 12pk,2,20.76
2025-11-05,1000,Heineken 12pk,2,20.76
2025-11-06,1000,Heineken 12pk,7,20.76
2025-11-07,1000,Heineken 12pk,4,20.76
2025-11-08,1000,Heineken 12pk,5,20.76
2025-11-09,1000,Heineken 12pk,6,20.76
2025-11-10,1000,Heineken 12pk,3,20.76
2025-11-11,1000,Heineken 12pk,2,20.76
2025-11-13,1000,Heineken 12pk,3,20.76
2025-11-14,1000,Heineken 12pk,6,20.76
2025-11-15,1000,Heineken 12pk,1,20.76
2025-11-16,1000,Heineken 12pk,1,20.76
2025-11-17,1000,Heineken 12pk,7,20.76
2025-11-18,1000,Heineken 12pk,6,20.76
2025-11-19,1000,Heineken 12pk,2,20.76
2025-11-20,1000,Heineken 12pk,2,20.76
2025-11-21,1000,Heineken 12pk,1,20.76
2025-11-23,1000,Heineken 12pk,4,20.76
2025-11-24,1000,Heineken 12pk,2,20.76
2025-11-25,1000,Heineken 12pk,5,20.76
2025-11-26,1000,Heineken 12pk,5,20.76
2025-11-27,1000,Heineken 12pk,1,20.76
2025-11-28,1000,Heineken 12pk,3,20.76
2025-11-29,1000,Heineken 12pk,5,20.76
2025-09-01,1001,Heineken 18pk,1,10.55
2025-09-02,1001,Heineken 18pk,2,10.55
2025-09-03,1001,Heineken 18pk,3,10.55
2025-09-04,1001,Heineken 18pk,2,10.55
2025-09-05,1001,Heineken 18pk,6,10.55
2025-09-06,1001,Heineken 18pk,2,10.55
2025-09-07,1001,Heineken 18pk,2,10.55
2025-09-08,1001,Heineken 18pk,1,10.55
2025-09-10,1001,Heineken 18pk,3,10.55
2025-09-11,1001,Heineken 18pk,3,10.55
2025-09-12,1001,Heineken 18pk,6,10.55
2025-09-13,1001,Heineken 18pk,5,10.55
2025-09-14,1001,Heineken 18pk,2,10.55
2025-09-15,1001,Heineken 18pk,1,10.55
2025-09-16,1001,Heineken 18pk,2,10.55
2025-09-17,1001,Heineken 18pk,3,10.55
2025-09-18,1001,Heineken 18pk,3,10.55
2025-09-19,1001,Heineken 18pk,3,10.55
2025-09-20,1001,Heineken 18pk,2,10.55
2025-09-21,1001,Heineken 18pk,4,10.55
2025-09-22,1001,Heineken 18pk,2,10.55
2025-09-23,1001,Heineken 18pk,2,10.55
2025-09-24,1001,Heineken 18pk,2,10.55
2025-09-26,1001,Heineken 18pk,5,10.55
2025-09-29,1001,Heineken 18pk,1,10.55
2025-09-30,1001,Heineken 18pk,3,10.55
2025-10-01,1001,Heineken 18pk,3,10.55
2025-10-02,1001,Heineken 18pk,3,10.55
2025-10-03,1001,Heineken 18pk,4,10.55
2025-10-04,1001,Heineken 18pk,4,10.55
2025-10-05,1001,Heineken 18pk,2,10.55
2025-10-06,1001,Heineken 18pk,2,10.55
2025-10-08,1001,Heineken 18pk,3,10.55
2025-10-09,1001,Heineken 18pk,3,10.55
2025-10-10,1001,Heineken 18pk,4,10.55
2025-10-12,1001,Heineken 18pk,4,10.55
2025-10-14,1001,Heineken 18pk,2,10.55
2025-10-15,1001,Heineken 18pk,1,10.55
2025-10-16,1001,Heineken 18pk,3,10.55
2025-10-17,1001,Heineken 18pk,1,10.55
2025-10-18,1001,Heineken 18pk,1,10.55
2025-10-19,1001,Heineken 18pk,2,10.55
2025-10-20,1001,Heineken 18pk,3,10.55
2025-10-21,1001,Heineken 18pk,1,10.55
2025-10-22,1001,Heineken 18pk,2,10.55
2025-10-23,1001,Heineken 18pk,3,10.55
2025-10-25,1001,Heineken 18pk,2,10.55
2025-10-26,1001,Heineken 18pk,1,10.55
2025-10-28,1001,Heineken 18pk,1,10.55
2025-10-29,1001,Heineken 18pk,3,10.55
2025-10-30,1001,Heineken 18pk,1,10.55
2025-10-31,1001,Heineken 18pk,2,10.55
2025-11-01,1001,Heineken 18pk,1,10.55
2025-11-02,1001,Heineken 18pk,5,10.55
2025-11-03,1001,Heineken 18pk,1,10.55
2025-11-04,1001,Heineken 18pk,4,10.55
2025-11-05,1001,Heineken 18pk,2,10.55
2025-11-07,1001,Heineken 18pk,1,10.55
2025-11-08,1001,Heineken 18pk,3,10.55
2025-11-09,1001,Heineken 18pk,1,10.55
2025-11-10,1001,Heineken 18pk,3,10.55
2025-11-11,1001,Heineken 18pk,3,10.55
2025-11-12,1001,Heineken 18pk,1,10.55
2025-11-15,1001,Heineken 18pk,4,10.55
2025-11-16,1001,Heineken 18pk,1,10.55
2025-11-17,1001,Heineken 18pk,2,10.55
2025-11-18,1001,Heineken 18pk,3,10.55
2025-11-19,1001,Heineken 18pk,3,10.55
2025-11-20,1001,Heineken 18pk,3,10.55
2025-11-21,1001,Heineken 18pk,3,10.55
2025-11-22,1001,Heineken 18pk,3,10.55
2025-11-23,1001,Heineken 18pk,2,10.55
2025-11-24,1001,Heineken 18pk,1,10.55
2025-11-25,1001,Heineken 18pk,3,10.55
2025-11-26,1001,Heineken 18pk,1,10.55
2025-11-27,1001,Heineken 18pk,2,10.55
2025-11-28,1001,Heineken 18pk,3,10.55
2025-11-29,1001,Heineken 18pk,3,10.55
2025-09-02,1002,Miller Lite 12pk,1,20.99
2025-09-04,1002,Miller Lite 12pk,2,20.99
2025-09-07,1002,Miller Lite 12pk,2,20.99
2025-09-08,1002,Miller Lite 12pk,3,20.99
2025-09-13,1002,Miller Lite 12pk,2,20.99
2025-09-15,1002,Miller Lite 12pk,2,20.99
2025-09-16,1002,Miller Lite 12pk,1,20.99
2025-09-18,1002,Miller Lite 12pk,2,20.99
2025-09-19,1002,Miller Lite 12pk,4,20.99
2025-09-20,1002,Miller Lite 12pk,2,20.99
2025-09-23,1002,Miller Lite 12pk,1,20.99
2025-09-24,1002,Miller Lite 12pk,2,20.99
2025-09-25,1002,Miller Lite 12pk,2,20.99
2025-09-27,1002,Miller Lite 12pk,4,20.99
2025-09-28,1002,Miller Lite 12pk,2,20.99
2025-09-30,1002,Miller Lite 12pk,3,20.99
2025-10-01,1002,Miller Lite 12pk,1,20.99
2025-10-02,1002,Miller Lite 12pk,1,20.99
2025-10-03,1002,Miller Lite 12pk,2,20.99
2025-10-04,1002,Miller Lite 12pk,4,20.99
2025-10-05,1002,Miller Lite 12pk,2,20.99
2025-10-07,1002,Miller Lite 12pk,3,20.99
2025-10-08,1002,Miller Lite 12pk,1,20.99
2025-10-10,1002,Miller Lite 12pk,1,20.99
2025-10-11,1002,Miller Lite 12pk,1,20.99
2025-10-12,1002,Miller Lite 12pk,1,20.99
